Sleep_Current,Motor_Peak_Current,Failure_Mode
0.0000245,0.555126332,LOCK POSITION CONFIRMATION Error
0.0000331,0.502745116,LOCK POSITION CONFIRMATION Error
0.0000249,0.496415918,LOCK POSITION CONFIRMATION Error
0.0000262,0.558005739,LOCK POSITION CONFIRMATION Error
0.0000246,0.488637442,LOCK POSITION CONFIRMATION Error
0.0000237,0.455133904,LOCK POSITION CONFIRMATION Error
0.0000249,0.55595131,LOCK POSITION CONFIRMATION Error
0.0000292,0.541526316,LOCK POSITION CONFIRMATION Error
0.0000216,0.549404166,LOCK POSITION CONFIRMATION Error
0.0000235,0.451691761,LOCK POSITION CONFIRMATION Error
0.0000247,0.548949313,LOCK POSITION CONFIRMATION Error
0.0000282,0.427348002,LOCK POSITION CONFIRMATION Error
0.000028,0.473578907,LOCK POSITION CONFIRMATION Error
0.0000276,0.449871793,LOCK POSITION CONFIRMATION Error
0.0000293,0.550258152,LOCK POSITION CONFIRMATION Error
0.0000282,0.451470769,LOCK POSITION CONFIRMATION Error
0.0000273,0.520412788,LOCK POSITION CONFIRMATION Error
0.0000259,0.521735357,LOCK POSITION CONFIRMATION Error
0.0000275,0.521347009,LOCK POSITION CONFIRMATION Error
0.0000259,0.481144144,LOCK POSITION CONFIRMATION Error
0.0000196,0.439899386,LOCK POSITION CONFIRMATION Error
0.0000348,0.510836057,LOCK POSITION CONFIRMATION Error
0.0000289,0.557705316,LOCK POSITION CONFIRMATION Error
0.0000309,0.555171119,LOCK POSITION CONFIRMATION Error
0.0000287,0.552434409,LOCK POSITION CONFIRMATION Error
0.0000298,0.477127562,LOCK POSITION CONFIRMATION Error
0.0000291,0.531926865,LOCK POSITION CONFIRMATION Error
0.0000303,0.443908041,LOCK POSITION CONFIRMATION Error
0.0000265,0.461116191,LOCK POSITION CONFIRMATION Error
0.0000311,0.437320258,LOCK POSITION CONFIRMATION Error
0.0000295,0.456007961,LOCK POSITION CONFIRMATION Error
0.0000319,0.53063605,LOCK POSITION CONFIRMATION Error
0.000029,0.543755097,LOCK POSITION CONFIRMATION Error
0.000029,0.543750254,LOCK POSITION CONFIRMATION Error
0.0000261,0.56046759,LOCK POSITION CONFIRMATION Error
0.0000234,0.558911052,LOCK POSITION CONFIRMATION Error
0.0000295,0.489638511,LOCK POSITION CONFIRMATION Error
0.0000282,0.567361991,LOCK POSITION CONFIRMATION Error
0.0000264,0.473555541,LOCK POSITION CONFIRMATION Error
0.0000269,0.536574157,LOCK POSITION CONFIRMATION Error
0.0000249,0.553325093,LOCK POSITION CONFIRMATION Error
0.0000249,0.454845665,LOCK POSITION CONFIRMATION Error
0.0000227,0.571226498,LOCK POSITION CONFIRMATION Error
0.0000241,0.559448039,LOCK POSITION CONFIRMATION Error
0.0000256,0.465575053,LOCK POSITION CONFIRMATION Error
0.0000282,0.534246616,LOCK POSITION CONFIRMATION Error
0.0000288,0.530007594,LOCK POSITION CONFIRMATION Error
0.0000268,0.534185703,LOCK POSITION CONFIRMATION Error
0.0000271,0.539035657,LOCK POSITION CONFIRMATION Error
0.0000201,0.496186597,LOCK POSITION CONFIRMATION Error
0.0000324,0.544060264,LOCK POSITION CONFIRMATION Error
0.0000285,0.447965506,LOCK POSITION CONFIRMATION Error
0.0000257,0.513733887,LOCK POSITION CONFIRMATION Error
0.0000277,0.554479452,LOCK POSITION CONFIRMATION Error
0.000022,0.614743321,LOCK POSITION CONFIRMATION Error
0.0000238,0.523213954,LOCK POSITION CONFIRMATION Error
0.0000267,0.529734832,LOCK POSITION CONFIRMATION Error
0.0000193,0.445631391,LOCK POSITION CONFIRMATION Error
0.0000297,0.484231951,LOCK POSITION CONFIRMATION Error
0.0000241,0.468927726,LOCK POSITION CONFIRMATION Error
0.0000301,0.574433591,LOCK POSITION CONFIRMATION Error
0.0000261,0.530185491,LOCK POSITION CONFIRMATION Error
0.000026,0.539700312,LOCK POSITION CONFIRMATION Error
0.0000282,0.441395525,LOCK POSITION CONFIRMATION Error
0.0000282,0.465911969,LOCK POSITION CONFIRMATION Error
0.0000296,0.444526054,LOCK POSITION CONFIRMATION Error
0.0000296,0.432445396,LOCK POSITION CONFIRMATION Error
0.0000287,0.464508665,LOCK POSITION CONFIRMATION Error
0.0000288,0.452292897,LOCK POSITION CONFIRMATION Error
0.0000311,0.550315075,LOCK POSITION CONFIRMATION Error
0.0000309,0.445103529,LOCK POSITION CONFIRMATION Error
0.0000288,0.539742352,LOCK POSITION CONFIRMATION Error
0.0000298,0.531232702,LOCK POSITION CONFIRMATION Error
0.0000293,0.478041009,LOCK POSITION CONFIRMATION Error
0.0000327,0.536953817,LOCK POSITION CONFIRMATION Error
0.0000326,0.457099561,LOCK POSITION CONFIRMATION Error
