SEGMENT1,DESCRIPTION,INVENTORY_ITEM_STATUS_CODE,MODEL,CATALOG,FUNCION,PACKAGING,OUTSIDEDESIGNDSG,OUTSIDEFINISHFIN,INSIDEDESIGNDSG,INSIDEFINISHFIN,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ESCUTCHEONOUTSIDEDESIGNDSG,ROSEOUTSIDEFINISHFIN,ROSEINSIDEDESIGNDSG,ESCUTCHEONINSIDEDESIGNDSG,ROSEINSIDEFINISHFIN,HANDING,LATCH,LATCHFINISHFIN,STRIKE,STRIKEFINISHFIN,DOORTHICKNESS,PLANNER_CODE
FKL-SLLK*8730976,LOCK.F51A.AND.620.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AND,620,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
194555109278,LOCK.F10.CF.MER.716.16-203.10-025.134,ACTIVE,FKL-SLLK,LOCK,F10,,MER,716,,,,,,,,,,,,16-203,,10-025,,134,F10BLU
194555109285,LOCK.F51A.LAT.622.COL..16-207.10-025.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,622,,,COL.,COL.,COL.,,,,,,,16-207,,10-025,,134,F51BLD
194555109292,LOCK.F80.LAT.622.COL..16-207.10-025.134.KA-0BIT.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,LAT,622,,,COL.,COL.,COL.,,,,,,,16-207,,10-025,,134,F51BLD
194555072398,LOCK.F51A.ACC.605.619.LH.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,605,,619,,,,,,,,,LH,16-211,,10-063,,134,F51BLT
194555072404,LOCK.F51A.ACC.605.619.RH.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,605,,619,,,,,,,,,RH,16-211,,10-063,,134,F51BLT
194555001138,LOCK.F10.CF.GEO.605.16-203.10-025.134,ACTIVE,FKL-SLLK,LOCK,F10,,GEO,605,,,,,,,,,,,,16-203,,10-025,,134,F10BKSU
194555001145,LOCK.F51A.CF.GEO.605.16-203.10-025.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,605,,,,,,,,,,,,16-203,,10-025,,134,F51BKSU
FKL-SLLK*8187726,LOCK.F51A.PLY.620.FLA.RH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,620,FLA,,,,,,,,,,RH,16-086,,10-027,,134,F51BKS
FKL-SLLK*8292626,LOCK.F51A.BWE.622.CAM..16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BWE,622,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BKRD
194555002357,LOCK.F10.CF.JAZ.626.16-204.10-001.134,ACTIVE,FKL-SLLK,LOCK,F10,,JAZ,626,,,,,,,,,,,,16-204,,10-001,,134,F10BLU
194555002333,LOCK.F51A.CF.ACC.622.16-203.10-026.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,622,,,,,,,,,,,,16-203,,10-026,,134,F51BLU
FKL-SLLK*8192397,LOCK.F80.ACC.619.RH.16-211.10-063.134.KA4.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,ACC,619,,,,,,,,,,,RH,16-211,,10-063,,134,F51BLT
FKL-SLLK*8192433,LOCK.F51A.ACC.716.609.LH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,716,,609,,,,,,,,,LH,16-086,,10-027,,134,F51BL
FKL-SLLK*8205335,LOCK.F51A.AND.626.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AND,626,,,,,,,,,,,,16-211,,10-063,,134,F51BKRT
194555002708,LOCK.F51A.BWE.619.622.COL..16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BWE,619,,622,COL.,COL.,COL.,,,,,,,16-086,,10-027,,134,F51BKRD
FKL-SLLK*8203379,LOCK.F51A.ELA.626.16-211.10-063.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,626,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
194555002456,LOCK.F51A.WIT.622.ADD..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,WIT,622,,,ADD.,ADD.,ADD.,,,,,,,16-086,,10-027,,134,F51BLD
194555001350,LOCK.F51A.CLT.716.AND..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,CLT,716,,,AND.,AND.,AND.,,,,,,,16-086,,10-027,,134,F51BL
FKL-SLLK*8193978,LOCK.F51A.VLA.505.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,VLA,505,,,,,,,,,,,,16-086,,10-027,,134,F51BL
FKL-SLLK*8257897,LOCK.F80.BRW.619.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,BRW,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555001527,LOCK.F51A.ORB.605.ACC.716.LH.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ORB,605,ACC,716,,,,,,,,,LH,16-211,,10-063,,134,F51BKST
194555001565,LOCK.F51A.CF.LAT.608.CEN..16-203.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,608,,,CEN.,CEN.,CEN.,,,,,,,16-203,,10-027,,134,F51BLDU
194555001589,LOCK.F10.AVA.619.COL..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,AVA,619,,,COL.,COL.,COL.,,,,,,,16-080,,10-027,,134,F10BLD
FKL-SLLK*8195151,LOCK.F51A.ACC.613.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,613,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555001725,LOCK.F170.ELA.605.134,ACTIVE,FKL-SLLK,LOCK,F170,,ELA,605,,,,,,,,,,,,,,,,134,F170BL
FKL-SLLK*8195443,LOCK.F51A.ELR.619.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELR,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555002616,LOCK.F40.BWE.619.626.CEN..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,BWE,619,,626,CEN.,CEN.,CEN.,,,,,,,16-080,,10-027,,134,F40BKRD
FKL-SLLK*8205036,LOCK.F51A.PLY.716.619.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,716,,619,,,,,,,,,,16-086,,10-027,,134,F51BKR
194555002562,LOCK.F40.FLA.620.16-080.10-027.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F40,,FLA,620,,,,,,,,,,,,16-080,,10-027,,134,F40BL
194555002579,LOCK.F10.FLA.620.16-080.10-027.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F10,,FLA,620,,,,,,,,,,,,16-080,,10-027,,134,F10BL
194555002586,LOCK.F51A.LAT.716.SIE.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,716,SIE,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555002593,LOCK.F170.FLA.620.LH.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F170,,FLA,620,,,,,,,,,,,LH,,,,,134,F170BL
194555002609,LOCK.F170.FLA.620.RH.134.DETAIL,ACTIVE,FKL-SLLK,LOCK,F170,,FLA,620,,,,,,,,,,,RH,,,,,134,F170BL
FKL-SLLK*8304735,LOCK.F51A.LAT.619.ADD..16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,619,,,ADD.,ADD.,ADD.,,,,,,,16-086,,10-027,,134,F51BLD
FKL-SLLK*8304737,LOCK.F51A.NBK.619.ULD..16-086.LLL.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,NBK,619,,,ULD.,ULD.,ULD.,,,,,,,16-086,,LLL,,134,F51BLD
194555002746,LOCK.F10.VLA.609.ADD..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F10,,VLA,609,,,ADD.,ADD.,ADD.,,,,,,,16-210,,10-063,,134,F10BLDT
194555002753,LOCK.F51A.AVA.716.AND..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AVA,716,,,AND.,AND.,AND.,,,,,,,16-086,,10-027,,134,F51BL
194555002760,LOCK.F10.ELA.716.LAT.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,ELA,716,LAT,,,,,,,,,,,16-080,,10-027,,134,F10BL
FKL-SLLK*8196923,LOCK.F80.LAT.622.ADD..16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,LAT,622,,,ADD.,ADD.,ADD.,,,,,,,16-086,,10-027,,134,F51BLD
194555001862,LOCK.F51A.ELA.619.16-207.10-025.134.KA2.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,619,,,,,,,,,,,,16-207,,10-025,,134,F51BL
194555001909,LOCK.F10.JAZ.716.16-200.10-025.134,ACTIVE,FKL-SLLK,LOCK,F10,,JAZ,716,,,,,,,,,,,,16-200,,10-025,,134,F10BL
194555001916,LOCK.F10.JAZ.716.16-200.LLL.134,ACTIVE,FKL-SLLK,LOCK,F10,,JAZ,716,,,,,,,,,,,,16-200,,LLL,,134,F10BL
FKL-SLLK*8197265,LOCK.F51A.AND.619.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AND,619,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
194555001923,LOCK.F40.JAZ.716.16-200.LLL.134,ACTIVE,FKL-SLLK,LOCK,F40,,JAZ,716,,,,,,,,,,,,16-200,,LLL,,134,F40BL
FKL-SLLK*8197285,LOCK.F51A.BRW.619.GRW..16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BRW,619,,,GRW.,GRW.,GRW.,,,,,,,16-086,,10-027,,134,F51BLD
194555084360,LOCK.F170.LAT.608.134,ACTIVE,FKL-SLLK,LOCK,F170,,LAT,608,,,,,,,,,,,,,,,,134,F170BL
194555084346,LOCK.F10.CF.LAT.608.16-203.10-026.134,ACTIVE,FKL-SLLK,LOCK,F10,,LAT,608,,,,,,,,,,,,16-203,,10-026,,134,F10BLU
194555084353,LOCK.F40.LAT.608.16-080.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,LAT,608,,,,,,,,,,,,16-080,,10-026,,134,F40BL
194555002111,LOCK.F51A.GEO.622.ACC.609.RH.16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,622,ACC,609,,,,,,,,,RH,16-086,,10-027,,134,F51BKR
FKL-SLLK*8199163,LOCK.F51A.MNH.619.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,MNH,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555002302,LOCK.F10.ORB.625.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,ORB,625,,,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F10BKSD
194555002784,LOCK.F51A.ACC.609.619.RH.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,609,,619,,,,,,,,,RH,16-211,,10-063,,134,F51BLT
194555002807,LOCK.F51A.LAT.622.619.CEN..16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,622,,619,CEN.,CEN.,CEN.,,,,,,,16-211,,10-063,,134,F51BLDT
194555002944,LOCK.F80.STA.505.605.AND..RH.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,STA,505,,605,AND.,AND.,AND.,,,,,,RH,16-211,,10-063,,134,F51BLT
194555002906,LOCK.F10.MER.619.GRW..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,MER,619,,,GRW.,GRW.,GRW.,,,,,,,16-210,,10-027,,134,F10BLDT
194555002913,LOCK.F40.MER.619.GRW..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,619,,,GRW.,GRW.,GRW.,,,,,,,16-210,,10-027,,134,F40BLDT
194555002920,LOCK.F51A.MER.619.GRW..16-211.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,MER,619,,,GRW.,GRW.,GRW.,,,,,,,16-211,,10-027,,134,F51BLDT
FKL-SLLK*8208147,LOCK.F51A.LAT.619.16-086.LLL.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,619,,,,,,,,,,,,16-086,,LLL,,134,F51BL
FKL-SLLK*8208165,LOCK.F51A.PLY.716.16-086.10-027.134.MK.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,716,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
194555003026,LOCK.F51A.MER.626.16-086.10-027.134.KD.C.48-100.2,ACTIVE,FKL-SLLK,LOCK,F51A,,MER,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
